X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,Energy,Hx,Hy,Hz,Sail_X,Sail_Y,Sail_Z
149599998.80085686,10935215.970813476,0.0,-6.522590557239626e-06,29.77999976192875,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9973908343845516,-0.07219088228916481,0.0
149599998.77726105,11042423.969948024,0.0,-6.586192679249593e-06,29.779999757256878,0.0,443.42153555854395,0.0,-0.0,4455087999.999995,-0.9973391190197225,-0.07290186330241498,0.0
149599998.7534363,11149631.969065672,0.0,-6.649784763744324e-06,29.77999975254017,0.0,443.4215355585439,0.0,-0.0,4455087999.999995,-0.997286902306734,-0.07361273318821022,0.0
149599998.72938263,11256839.968166258,0.0,-6.713366715950658e-06,29.77999974777865,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9972341844834911,-0.0743234908864387,0.0
149599998.7051001,11364047.967249623,0.0,-6.776938441172055e-06,29.779999742972336,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9971809657901133,-0.07503413533783726,0.0
149599998.6805887,11471255.966315605,0.0,-6.840499844789284e-06,29.779999738121255,0.0,443.42153555854395,0.0,-0.0,4455087999.999996,-0.9971272464689335,-0.07574466548399905,0.0
149599998.6558485,11578463.965364043,0.0,-6.904050832261111e-06,29.779999733225424,0.0,443.42153555854384,0.0,-0.0,4455087999.999996,-0.9970730267644935,-0.07645508026738136,0.0
149599998.63087955,11685671.964394774,0.0,-6.967591309124983e-06,29.779999728284867,0.0,443.42153555854384,0.0,-0.0,4455087999.999996,-0.9970183069235419,-0.07716537863131322,0.0
149599998.60568187,11792879.96340764,0.0,-7.0311211809977155e-06,29.77999972329961,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9969630871950308,-0.07787555952000304,0.0
149599998.58025548,11900087.962402478,0.0,-7.094640353576173e-06,29.77999971826967,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9969073678301119,-0.07858562187854636,0.0
149599998.55460045,12007295.961379128,0.0,-7.15814873263795e-06,29.779999713195075,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9968511490821348,-0.07929556465293339,0.0
149599998.5287168,12114503.960337428,0.0,-7.221646224042054e-06,29.779999708075845,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9967944312066422,-0.08000538679005662,0.0
149599998.5026046,12221711.95927722,0.0,-7.2851327337295825e-06,29.779999702912004,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9967372144613682,-0.08071508723771853,0.0
149599998.47626388,12328919.95819834,0.0,-7.3486081677243994e-06,29.779999697703577,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9966794991062339,-0.08142466494463908,0.0
149599998.44969466,12436127.957100632,0.0,-7.412072432133812e-06,29.779999692450584,0.0,443.42153555854384,0.0,-0.0,4455087999.999996,-0.9966212854033448,-0.08213411886046328,0.0
149599998.42289698,12543335.955983931,0.0,-7.4755254331492464e-06,29.77999968715305,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9965625736169874,-0.0828434479357688,0.0
149599998.3958709,12650543.954848079,0.0,-7.538967077046919e-06,29.779999681811002,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.996503364013626,-0.08355265112207351,0.0
149599998.36861643,12757751.953692917,0.0,-7.602397270188507e-06,29.779999676424463,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9964436568618987,-0.08426172737184287,0.0
149599998.34113365,12864959.952518282,0.0,-7.665815919021821e-06,29.779999670993455,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9963834524326151,-0.08497067563849767,0.0
149599998.3134226,12972167.951324016,0.0,-7.729222930081472e-06,29.779999665518005,0.0,443.4215355585439,0.0,-0.0,4455087999.999997,-0.996322750998752,-0.08567949487642126,0.0
149599998.28548327,13079375.950109959,0.0,-7.792618209989539e-06,29.779999659998136,0.0,443.4215355585439,0.0,-0.0,4455087999.999997,-0.9962615528354509,-0.08638818404096721,0.0
149599998.25731575,13186583.948875949,0.0,-7.856001665456233e-06,29.779999654433876,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9961998582200136,-0.0870967420884667,0.0
149599998.22892007,13293791.947621828,0.0,-7.91937320328056e-06,29.779999648825246,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9961376674318992,-0.08780516797623593,0.0
149599998.20029628,13400999.946347436,0.0,-7.982732730350992e-06,29.779999643172275,0.0,443.421535558544,0.0,-0.0,4455087999.999997,-0.9960749807527208,-0.08851346066258357,0.0
149599998.17144442,13508207.945052614,0.0,-8.046080153646114e-06,29.779999637474987,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.996011798466242,-0.0892216191068182,0.0
149599998.14236453,13615415.943737203,0.0,-8.109415380235294e-06,29.779999631733407,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9959481208583727,-0.08992964226925562,0.0
149599998.11305666,13722623.942401042,0.0,-8.172738317279338e-06,29.77999962594756,0.0,443.42153555854395,0.0,-0.0,4455087999.999998,-0.9958839482171663,-0.09063752911122626,0.0
149599998.08352083,13829831.941043973,0.0,-8.236048872031141e-06,29.779999620117476,0.0,443.4215355585439,0.0,-0.0,4455087999.999997,-0.9958192808328159,-0.09134527859508257,0.0
149599998.0537571,13937039.939665835,0.0,-8.29934695183635e-06,29.77999961424318,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9957541189976507,-0.09205288968420625,0.0
149599998.02376553,14044247.938266471,0.0,-8.362632464134012e-06,29.779999608324697,0.0,443.4215355585439,0.0,-0.0,4455087999.999997,-0.9956884630061318,-0.09276036134301564,0.0
149599997.99354616,14151455.93684572,0.0,-8.425905316457225e-06,29.779999602362057,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9956223131548498,-0.09346769253697307,0.0
149599997.96309903,14258663.935403423,0.0,-8.48916541643379e-06,29.77999959635528,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.99555566974252,-0.09417488223259193,0.0
149599997.9324242,14365871.933939423,0.0,-8.552412671786858e-06,29.779999590304403,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9954885330699788,-0.09488192939744423,0.0
149599997.90152168,14473079.932453562,0.0,-8.615646990335572e-06,29.779999584209445,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9954209034401811,-0.09558883300016766,0.0
149599997.87039155,14580287.930945678,0.0,-8.678868279995723e-06,29.779999578070438,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9953527811581945,-0.0962955920104727,0.0
149599997.83903384,14687495.929415615,0.0,-8.742076448780381e-06,29.77999957188741,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9952841665311979,-0.0970022053991502,0.0
149599997.80744863,14794703.927863214,0.0,-8.805271404800545e-06,29.779999565660383,0.0,443.421535558544,0.0,-0.0,4455087999.999997,-0.9952150598684757,-0.09770867213807813,0.0
149599997.77563593,14901911.926288316,0.0,-8.868453056265774e-06,29.77999955938939,0.0,443.42153555854395,0.0,-0.0,4455087999.999997,-0.9951454614814152,-0.09841499120022908,0.0
149599997.74359578,15009119.924690764,0.0,-8.931621311484838e-06,29.779999553074457,0.0,443.421535558544,0.0,-0.0,4455087999.999998,-0.9950753716835024,-0.0991211615596772,0.0
149599997.71132827,15116327.9230704,0.0,-8.994776078866342e-06,29.779999546715615,0.0,443.42153555854395,0.0,-0.0,4455087999.999998,-0.9950047907903178,-0.0998271821916056,0.0
149599997.67883343,15223535.921427064,0.0,-9.057917266919364e-06,29.779999540312893,0.0,443.421535558544,0.0,-0.0,4455087999.999998,-0.9949337191195329,-0.10053305207231304,0.0
149599997.64611128,15330743.9197606,0.0,-9.121044784254092e-06,29.779999533866317,0.0,443.421535558544,0.0,-0.0,4455087999.999998,-0.9948621569909063,-0.10123877017922142,0.0
149599997.61316192,15437951.918070849,0.0,-9.184158539582453e-06,29.779999527375917,0.0,443.42153555854395,0.0,-0.0,4455087999.999999,-0.9947901047262795,-0.10194433549088264,0.0
149599997.57998538,15545159.916357653,0.0,-9.247258441718741e-06,29.779999520841724,0.0,443.421535558544,0.0,-0.0,4455087999.999999,-0.9947175626495733,-0.10264974698698572,0.0
149599997.5465817,15652367.914620856,0.0,-9.310344399580244e-06,29.779999514263764,0.0,443.421535558544,0.0,-0.0,4455087999.999999,-0.9946445310867831,-0.10335500364836386,0.0
